associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,substrate,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,H. Roivainen,Argentina,Tierra del Fuego,suelo humoso húmedo en el pendiente del río,Ochyra,Isopterygium pulchellum (Hedw.) Jaeg.,Valle del río Pipo,N/A,1969-12-21,N/A,Typed,N/A,1352,N/A,N/A,soil,no type status,H. Roivainen,"54°46'S, 68°20'W",1996,300 m s.m.,21.12.1969,Isopterygium pulchellum (Hedw.) Jaeg.,"Tierra del Fuego australis, Valle del río Pipo, suelo humoso húmedo en el pendiente del río, 300 m s.m., bastante copiosamente."
N/A,E. P. Killip,Colombia,Santander,N/A,R. R. Ireland,Isoterygium tenerrimum (Sw.) Mitt.,"between Puerto Wilches and Puerto Santos, Hilltops",N/A,1926-11-29,N/A,Mix of Handwritten and Typed,N/A,14971,N/A,A. C. Smith,N/A,no type status,E. P. Killip & A. C. Smith,N/A,1988,N/A,"November 29, 1926",Isoterygium tenerrimum (Sw.) Mitt.,"Dept. Santander, between Puerto Wilches and Puerto Santos, Hilltops"
N/A,Richard Evans Schultes,Colombia,Meta,N/A,Dana Griffin III,Isoterygium tenerum (Sw.) Mitt.,alrededores de Villavicencio,1950-12-00,1950-12-00,N/A,Typed,1055473,11110,N/A,N/A,N/A,no type status,Richard Evans Schultes,N/A,1950,500 m.,"Dec., 1950",Isoterygium tenerum (Sw.) Mitt.,Intendencia del Meta: alrededores de Villavicencio.
N/A,D. C. Geijskes,Surinam,N/A,"On roots and rocks on bank of river, shai",H.R. Zielman,Isopterygium tenerum (Sw.) Mitt.,"Marowijne river, Armina falls rainforest",1952-09-29,1952-09-29,N/A,Typed,1073518,N/A,N/A,N/A,"roots, rocks",no type status,D.C. Geijskes,N/A,N/A,N/A,29-9-1952,Isopterygium tenerum (Sw.) Mitt.,"Marowijne river, Armina falls rainforest On roots and rocks on bank of river, shai."
N/A,Ynes Mexia,Brazil,Minas Gerais,On rotten wood near base. Abundant.,R.R. Ireland,Isoterygium tenerum (Sw.) Mitt.,"Agricultural College land, Horticultural Hill",1930-07-06,1930-07-06,Viçosa,Typed,1039979,8430,N/A,N/A,wood,no type status,Ynes Mexia,N/A,1988,870 m.,"July 6, 1930",Isoterygium brachyrrhachis (Mitt.) Mitt. ex Jaeg. & Sauerb.,"Agricultural College land, Horticultural Hill."
N/A,Ynes Mexia,Brazil,Minas Geraes,"Shady streambanks, On rotten wood.",R.R. Ireland,Isoptrygium tenerum (Sw.) Mitt.,"Viçosa Agricultural College, Corrego Ribeirão",1930-07-21,1930-07-21,N/A,Typed,873365,4888,N/A,N/A,wood,no type status,Ynes Mexia,N/A,1988,675 m.,"July 21, 1930",Isoptrygium laxum (Hpe.) Broth.,Viçosa Agricultural College. Corrego Ribeirão.
N/A,Ynes Mexia,Brazil,State of Minas Geraes,Dense forest,R.R. Ireland,Isopterygium tenerum (Sw.) Mitt.,Road to Sao Luiz,N/A,1930-12-08,Vicosa,Typed,870841,8030,N/A,N/A,On rotten logs,no type status,"Ynes Mexia, No. 8030",N/A,1988,710 m.,"Dec. 8, 1930",Isopterygium tenerum (Sw.) Mitt.,Road to Sao Luiz.
N/A,Ynes Mexia,Brazil,Minas Geraes,On rotting logs in woods,R.R. Ireland,Isopterygium tenerum (Sw.) Mitt.,"Viçosa Agricultural College lands, Base of Horticulture Hill",1930-12-23,1930-12-23,N/A,Typed,370823,54421,N/A,N/A,log,no type status,Ynes Mexia,N/A,1988,670 m.,"Dec. 23, 1930",Isopterygium tenerum (Sw.) Mitt.,Viçosa Agricultural College lands. Base of Horticulture Hill.
N/A,H. S. Irwin,Brasil,N/A,"On the bark and exposed roots of Coccoloba sp., and on adjacent soil, at river bank, Cerrado gallery forest, and adjacent out-curve, ca. 10km W. of Barreiras",R. R. Ireland,Isoterygium tenerum (Sw.) Mitt.,Valley of the Rio das Ondas,N/A,1971-03-02,N/A,Typed,1059328,31332,N/A,"R. M. Harley, G. L. Smith","bark, soil",no type status,"H. S. Irwin, R. M. Harley, G. L. Smith",N/A,1988,ca. 500m.,2 March 1971,Isoterygium tenerum (Sw.) Mitt.,Valley of the Rio das Ondas
N/A,Ynes Mexia,Brazil,Minas Geraes,"Shady streambanks, on rotten logs",R. R. Ireland,Isopterygium tenerum (Sw.) Mitt.,"Vicosa Agricultural College lands, Corrego Felizbina",N/A,1929-07-21,N/A,Typed,830845,4884,N/A,N/A,log,no type status,Ynes Mexia,N/A,1988,675 m.,"July 21, 1929",Isopterygium tenerum (Sw.) Mitt.,"Vicosa Agricultural College lands, Corrego Felizbina"
N/A,Ynes Mexia,Brazil,Minas Gerais,Wood on slope,R. R. Ireland,Isoptrygium tenerum (Sw.) Mitt.,"Fazenda de Cresciuma, wood on slope, on rotten log",1930-05-14,1930-05-14,Viçosa,Typed,870839,4690,N/A,N/A,wood,no type status,Ynes Mexia,N/A,1988,700 m.,"May 14, 1930",Isoptrygium curvifolium (Sw.) Mitt. Ex p.,Fazenda de Cresciuma. Wood on slope. On rotten log.
N/A,Ynes Mexia,Brazil,Minas Gerais,"Shady streambank, on rotten log.",R.R. Ireland,Isopterygium tenerum (Sw.) Mitt.,"Viçosa Agricultural College lands, Corrego Ribeiro",1930-07-21,1930-07-21,N/A,Typed,1039977,4884,N/A,N/A,wood,no type status,Ynes Mexia,N/A,1988,675 m.,"July 21, 1930",Isopterygium tenerum (Sw.) Mitt.,Viçosa Agricultural College lands. Corrego Ribeiro.
N/A,Ynes Mexia,Brazil,State of Minas Gerais,Cut over woods on slope,R.R. Ireland,Isopterygium tenerum (Sw.) Mitt.,"Road to São Miguel, near stream ""Turvo""",1930-03-31,1930-03-31,N/A,Typed,1039978,4545,N/A,N/A,rotting tree trunk,no type status,Ynes Mexia,N/A,1988,710 m.,"March 31, 1930",Isoterygium curvifolium (Hedw.) Mitt. det. Bartram,"Road to São Miguel, near stream ""Turvo"". Cut over woods on slope. On rotting tree trunk."
N/A,H. Schieffner,Brasil,Sao Paulo,in palude,R. R. Ireland,Isoperygium tenerum (Sw.) Mitt.,"prope urbem Cerqueira-Cesar, in palude",1952-02-07,1952-02-06,N/A,Typed,1012176,2898,N/A,N/A,N/A,no type status,H. Schieffner,N/A,1988,650 m.,Feb 6-7,Isoperygium anamiticum (Müll. Hal.) Broth.,"prope urbem Cerqueira-Cesar, in palude"
N/A,Ynes Mexia,Brazil,Minas Geraes,On rotting logs near base. Cut over woods,R.R. Ireland,Isoterygium tenerum (Sw.) Mitt.,Viçosa Agricultural College lands,1930-07-06,1930-07-06,N/A,Typed,87081,4641,N/A,N/A,log,no type status,Ynes Mexia,N/A,1988,670 m.,"July 6, 1930",Isoterygium brachyneuron (Mitt.) Mitt. ex P. de la Varde,Viçosa Agricultural College lands
N/A,R. S. Williams,Bolivia,N/A,N/A,R. R. Ireland,Isopterygium tenerum (Sw.) Mitt.,San Vicente,1902-00-00,1901-00-00,N/A,Typed,1039993,2015,N/A,N/A,N/A,no type status,R. S. Williams,N/A,1988,"12,000 feet",1901-1902,Isopterygium tenerum (Sw.) Mitt.,"San Vicente, 12,000 feet"
N/A,R. S. Williams,Bolivia,N/A,N/A,R. R. Ireland,Isoptrygium tenerum (Sw.) Mitt.,[precise locality unknown],1902-12-31,1901-00-00,N/A,Mix of Handwritten and Typed,101742,2037,N/A,N/A,N/A,no type status,R. S. Williams,N/A,1988,N/A,1901-1902,Isoptrygium tenerum (Sw.) Mitt.,N/A
N/A,I. Hagen,Norvegia,N/A,N/A,N/A,Cetraria islandica (L.) Ach. var. crispa (Ach.) Röhl.,"Vidda, montibus ad fjeld Hardanger",N/A,N/A,N/A,Typed,N/A,N/A,N/A,N/A,N/A,no type status,I. Hagen,N/A,N/A,altit. mtr. 900-1200 mtr,N/A,Cetraria islandica (L.) Ach. var. crispa (Ach.) Röhl.,"Norvegia, Vidda, montibus ad f. [fjeld] Hardanger"
N/A,N/A,England,N/A,N/A,N/A,Pogonatum urnigerum Brid.,[precise locality unknown],N/A,N/A,N/A,Typed,N/A,N/A,N/A,N/A,N/A,no type status,N/A,N/A,N/A,N/A,N/A,Pogonatum urnigerum Brid.,N/A
N/A,C. de Jussieu,France,Pyrénées,N/A,N/A,Polytrichum juniperinum,Gorges de Jaret,N/A,1878-00-00,Gorges de Jaret,Handwritten,N/A,N/A,N/A,N/A,N/A,no type status,C. de Jussieu,N/A,N/A,N/A,1878,Polytrichum juniperinum,Pyrénées: Gorges de Jaret
N/A,N/A,England,Sussex,N/A,N/A,Polytrichum juniperinum,"Sussex, England",N/A,N/A,N/A,Typed,1096014,N/A,N/A,N/A,N/A,no type status,N/A,N/A,N/A,N/A,N/A,Polytrichum juniperinum,"Sussex, England"
N/A,G. E. Hunt,N/A,N/A,N/A,N/A,Isoetes lacustris,Upper Lough Erne,N/A,N/A,N/A,Mix of Handwritten and Typed,1182972,N/A,N/A,N/A,N/A,no type status,G. E. Hunt,N/A,N/A,N/A,N/A,Isoetes lacustris,Upper Lough Erne
N/A,Ed. Jeanpert,N/A,N/A,N/A,N/A,Sphagnum medium Limpr.,"Villers-aux-Bois, route de Souchez, ravine",N/A,N/A,N/A,Handwritten,1058477,N/A,N/A,N/A,N/A,no type status,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A,Sphagnum medium Limpr.,"Villers-aux-Bois, route de Souchez, ravine"
N/A,C. Maler Frh.,N/A,N/A,N/A,L. Beier,Polytrichum urnigerum (L.) Pal. Beauv. c. fr.,[precise locality unknown],N/A,1905-09-08,N/A,Typed,1123491,476,N/A,N/A,soil,no type status,C. Maler Frh.,N/A,Nov. 10. 1909,etwa 1210 m. s. M.,8. Sept. 1905,Polytrichum urnigerum (L.) Pal. Beauv. c. fr.,"Seeb.) Ralnen auf Erde in Felsspalten zwischen Binken und Seeblick am Feldberge, etwa 1210 m. s. M."
N/A,Zd. Pilous,Bohemia,N/A,in declivis graminosis silvaticis,N/A,Polytrichum juniperinum Hedw.,"Montes Krkonose, near Horni Vrchlabi",1946-05-00,1946-05-00,N/A,Handwritten,1270015,214,N/A,N/A,soil,no type status,Zd. Pilous,N/A,N/A,ca 580 m,V.1946,Polytrichum juniperinum Hedw.,"Montes Krkonose, in declivis graminosis silvaticis prope pagum Horni Vrchlabi, ca 580 m"
N/A,James Thompson,Scotland,N/A,N/A,N/A,Gonatium marginatum,[precise locality unknown],1843-00-00,1843-00-00,N/A,Handwritten,1230970,N/A,N/A,N/A,N/A,no type status,Collected in 1843 by James Thompson,N/A,N/A,N/A,1843,Gonatium marginatum,N/A
N/A,Ed. Jeanpert,N/A,N/A,N/A,N/A,Hypnum cupressiforme,[precise locality unknown],N/A,N/A,N/A,Typed,105846,N/A,N/A,N/A,N/A,no type status,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A,Hypnum cupressiforme,N/A
N/A,N/A,N/A,N/A,N/A,N/A,Polytrichum alpinum var. septentrionale (Sw.) Brid.,[precise locality unknown],1945-05-00,1945-05-00,N/A,Typed,1153426,N/A,N/A,N/A,N/A,no type status,N/A,N/A,N/A,N/A,May 1945,Polytrichum alpinum var. septentrionale (Sw.) Brid.,N/A
N/A,C. Jensen,Denmark,Sjælland,N/A,N/A,Pogonatum urnigerum (Hedw.) P. Beauv.,Maglebrækmose by Hvalsø in a gravel-pit,1901-10-25,1901-10-25,N/A,Typed,APR 1953,N/A,N/A,N/A,soil,no type status,C. Jensen,N/A,N/A,N/A,25/10 1901,Pogonatum urnigerum (Hedw.) P. Beauv.,"Sjælland, Maglebrækmose by Hvalsø in a gravel-pit"
N/A,Ed. Jeanpert,N/A,N/A,N/A,N/A,Bryum argenteum Hedw. var. muticum Sendtn. in Mart.,[precise locality unknown],1889-10-15,1889-10-15,N/A,Handwritten,1058475,N/A,N/A,N/A,N/A,no type status,Herbarium Ed. Jeanpert,N/A,N/A,N/A,15 Octobre 1889,Bryum argenteum Hedw. var. muticum Sendtn. in Mart.,N/A
N/A,N/A,N/A,N/A,N/A,N/A,Saxifraga aizoon var. surculosa (Engl. & Irmsch.),[precise locality unknown],N/A,N/A,N/A,Typed,1058481,N/A,N/A,N/A,N/A,no type status,N/A,N/A,N/A,N/A,N/A,Saxifraga aizoon var. surculosa (Engl. & Irmsch.),N/A
N/A,Elmer J. Richards,Scotland,N/A,N/A,N/A,Sphagnum rubellum,[precise locality unknown],N/A,N/A,N/A,Mix of Handwritten and Typed,1182976,N/A,N/A,N/A,N/A,no type status,Gift of Elmer J. Richards,N/A,N/A,N/A,N/A,Sphagnum rubellum,N/A
N/A,Arnould,France,Haute-Savoie,N/A,Arnould,Sphagnum junghuhnianum Dozy & Molk.,"Source (près du lac) Léman, Val d'Evian",1924-06-18,1924-06-18,N/A,Handwritten,1050871,698,N/A,N/A,N/A,no type status,Arnould,N/A,VI.18.1924,à 375 m,VI.18.1924,Sphagnum junghuhnianum Dozy & Molk.,"Source (près du lac) Léman, Val d'Evian, à 375 m"
N/A,M. Onraedt,Belgique,N/A,tourbière,N/A,Sphagnum universum f. Beauv. Schimp.,"Fagne Wallonne, val d'Orneau, between Mazy and Balâtre",N/A,1976-09-07,N/A,Typed,1050867,76.5.1970,N/A,N/A,soil,no type status,M. Onraedt,N/A,N/A,170m,Le 7.9.1976,Sphagnum universum f. Beauv. Schimp.,"Fagne Wallonne, val d'Orneau, entre Mazy et Balâtre"
N/A,N/A,N/A,N/A,N/A,N/A,Pogonatum urnigerum,[precise locality unknown],N/A,N/A,N/A,Typed,1058318,N/A,N/A,N/A,N/A,no type status,N/A,N/A,N/A,N/A,N/A,"Pogonatum urnigerum, Brid.",N/A
N/A,J. Lehm.,N/A,N/A,N/A,N/A,Pogonatum urnigerum (L.) P. Beauv.,An Walfahrtskirch bei Salem,N/A,1850-08-23,N/A,Typed,1054838,9864,N/A,Stizenberger,N/A,no type status,J. Lehm. u. Stizenberger,N/A,N/A,N/A,23. August 1850,Pogonatum urnigerum (L.) P. Beauv.,An Walfahrtskirch bei Salem
N/A,Jack Kiefer,Austria,Steiermark,N/A,N/A,Pogonatum urnigerum (L.) P. Beauv.,Gossen Waldwiese auf rotem Sandsteinbrechschiefer,1962-10-17,1962-10-17,N/A,Typed,1054931,995B,N/A,N/A,soil,no type status,Jack Kiefer,N/A,N/A,N/A,17 Oktober 1962,Pogonatum urnigerum (L.) P. Beauv.,a. d. Gossen Waldwiese auf rotem Sandsteinbrechschiefer
N/A,A. L. Wollaston,N/A,N/A,N/A,N/A,Polytrichum lanigerum (L.) P. Beauv.,[precise locality unknown],N/A,1902-09-00,N/A,Typed,1055050,968b,N/A,Schauinsland,N/A,no type status,A. L. Wollaston et Schauinsland,N/A,N/A,N/A,September 1902,Polytrichum lanigerum (L.) P. Beauv.,N/A
N/A,C. Jensen,Denmark,Zealand,sandy soil,C. Jensen,Pogonatum urnigerum (Hedw.) P. C. F.,sandy soil in Maglekov south of Hvalsø,1904-11-21,1904-11-21,N/A,Typed,N/A,104,N/A,N/A,soil,no type status,and deerm. C. Jensen,N/A,N/A,N/A,"November 21, 1904",Pogonatum urnigerum (Hedw.) P. C. F.,sandy soil in Maglekov south of Hvalsø
N/A,P. Allorge,Spain,Navarra,"Talus argileux (schisteux) avec Helianthemum vulgare, Dianthus pungens, Linaria spicata (L.) Chaz., Linaria triornithophora (L.) Willk., Alkanna tinctoria (L.) Tausch., Phlomis lychnitis L., etc.",P. Allorge,Bryotheca Iberica,Puente la Reina,1928-05-00,1928-05-00,Puente la Reina,Typed,1200129,49,N/A,N/A,soil,no type status,P. Allorge,N/A,11. V. 1927.,N/A,Mai 1928,Bryotheca Iberica,"Puente la Reina (Navarra). Talus argileux (schisteux) avec Helianthemum vulgare, Dianthus pungens, Linaria spicata (L.) Chaz., Linaria triornithophora (L.) Willk., Alkanna tinctoria (L.) Tausch., Phlomis lychnitis L., etc."
N/A,Zd. Pilous,Slovakia,N/A,N/A,N/A,Pogonatum urnigerum var. humile,Montes Nízké Tatry; In terra montis Ďumbier,1949-07-00,1949-07-00,N/A,Typed,1350857,1025,N/A,N/A,soil,no type status,Zd. Pilous,N/A,N/A,cca 1840 m,VII.1949,Pogonatum urnigerum Pal. var. humile Brid.,"Montes Nízké Tatry; In terra montis Ďumbier, cca 1840 m"
N/A,S. Churchill,Bolivia,Chuquisaca,Bosque montano de yungas,S. Churchill,Neckera scabridens C. Müller,"Monte Grande, approximately 32 kilometers from Villa Serrano",N/A,2004-05-12,Villa Serrano,Typed,1193467,22853,Belisario Boeto,N/A,bark,no type status,S. Churchill et al.,"18°43'04""S 64°29'07""W",Jun 2004,2740 m,12 May 2004,Neckera scabridens C. Müller,"Monte Grande, ca. 32 km de Villa Serrano. Bosque montano de yungas. Con Purumpitys exigua, Podocarpus, Myrcianthes."
N/A,E. Cordula,Brasil,Pernambuco,afloramento rochoso,G. P. Lewis,Ancistrotropis peduncularis (Fawcett & Rendle) A. Delgado,Serra das Umburanas,N/A,2007-04-23,Mirandiba,Typed,K000931304,14722,N/A,"Melo, K. Pinheiro",rock,no type status,E. Cordula (leg.); Melo & K. Pinheiro,08°12'S; 38°32'W,12.2012,457 m,23/IV/2007,Vigna peduncularis (Kunth) Fawc. & Rendle,"Municipio de Mirandiba, Serra das Umburanas (afloramento rochoso)"
N/A,Ilkka Kukkonen,Australia,Queensland,Patch of rain forest,S. Kurvola,Arthropteris tenella (G. Forst.) J. Sm.,"Atherton Tableland, patch of rain forest at Malanda",1981-09-13,1981-09-13,Atherton Tableland,Typed,H 159150,11003,N/A,N/A,Climbing on tree stems,no type status,Ilkka Kukkonen,N/A,1982,N/A,13. Sept. 1981,Arthropteris tenella (G. Forst.) J. Sm.,"Atherton Tableland, patch of rain forest at Malanda"
N/A,Pabst,Brazil,Rio de Janeiro,Mangue,Pabst,Avicennia tomentosa,Ilha do Governador,1960-09-07,1960-09-07,N/A,Typed,K000146329,2121,N/A,N/A,soil,no type status,Pabst,N/A,23-9-60,N/A,7-9-60,Avicennia tomentosa,"Brasil: Guanabara, Ilha do Governador"
N/A,W. Hoehne,Brasil,São Paulo,N/A,Kuhlmann,Cestrum corymbosum Schltdl.,"Cantareira, São Paulo",1933-12-00,1933-12-00,N/A,Typed,N/A,10228,"Cantareira, São Paulo",N/A,N/A,no type status,W. Hoehne,N/A,N/A,-,xii.1933,Cestrum corymbosum Schltdl.,"Cantareira, São Paulo, ..."
N/A,H. Eggert,United States,Illinois,N/A,N/A,Cystopteris bulbifera (L.) Bernh.,Bluffs,0000-05-00,0000-05-00,N/A,Handwritten,1126455,N/A,N/A,N/A,N/A,no type status,H. Eggert,N/A,N/A,N/A,May,Cystopteris bulbifera (L.) Bernh.,"Bluffs, Illinois"
N/A,T. Rulkonen,Ethiopia,Bale Adm. Reg.,"On the way to Saneti plateau from Robe. Steep forested slope of a river canyon, e.g. Juniperus procera. Pastured slope.",J. Sarvela,Dryopteris inaequalis (Schlechtend.) Kuntze,Saneti plateau and Mount Batu,N/A,1982-11-08,N/A,Typed,H1489739,12608,N/A,N/A,N/A,no type status,T. Rulkonen 12608,06°55'N 39°45'E,1987,c. 4000-4200 m,8.XI.1982,Dryopteris inaequalis (Schlechtend.) Kuntze,"Bale Adm. Reg., Saneti plateau and Mount Batu, 06°55'N 39°45'E, c. 4000-4200 m. Alpine belt dominated by Festuca schesfieri, Euryops pinifolius, Anthemis tigreensis."
N/A,M. Vallejo,Scotland,N/A,Occurring on the banks of a stream on a substrate of sand and silt,M. Vallejo,Mimulus peregrinus,"Loch Lomond & The Trossachs National Park, Ben Lomond, Sron a' Chlachain",N/A,2012-03-24,N/A,Typed,E00579066,M.V. seed 2.14,N/A,"M. Maunder, C. Clubbe, M. Hamilton, D. Vallejo, M. A. Martin",soil,HOLOTYPE,"M. Vallejo, M. Maunder, C. Clubbe, M. Hamilton, D. Vallejo, M.A. Martin",N/A,N/A,5 m,24 Mar 2012,Mimulus peregrinus,"Loch Lomond & The Trossachs National Park, Ben Lomond, Sron a' Chlachain"
N/A,T. F. Cheeseman,New Zealand,N/A,N/A,N/A,Gellia Boddi-mont,"Waitakerei Hills, Auckland",N/A,1902-08-09,N/A,Handwritten,266,648,N/A,N/A,soil,no type status,T. F. Cheeseman,N/A,N/A,N/A,Aug. 9. 1902,Gellia Boddi-mont,"Waitakerei Hills, Auckland"
N/A,Bart Van de Vijver,Italia,N/A,macchia-shrub with Cistus and Pinus,Van de Vijver & W. Van Looken,Ophrys oestrifera subsp. garganensis,"Promontorio del Gargano, Madonna di Loreto, Behind the Chapel of Madonna di Loreto",2007-04-25,2007-04-25,N/A,Typed,691 837,N/A,N/A,N/A,N/A,no type status,Bart Van de Vijver,N/A,N/A,N/A,25/04/2007,Ophrys oestrifera subsp. garganensis Van de Vijver & W. Van Looken,"Promontorio del Gargano, Madonna di Loreto, Behind the Chapel of Madonna di Loreto"
N/A,G. Hatschbach,Brazil,Paraná,"Em terreno arenoso, margens de rio",Pedersen,Pfaffia glabrata (Spreng.) Pedersen,"Rio Iguaçu, proximidades da barragem do Perdido, Lagoa Verde",N/A,1991-09-19,Curitiba,Typed,N/A,59696,N/A,"Zygadlo, J. Silva, J. Cordeiro",soil,no type status,"G. Hatschbach, Zygadlo, J. Silva & J. Cordeiro",N/A,N/A,N/A,19-9-91,Pfaffia glabrata (Spreng.) Pedersen,"Rio Iguaçu, prox. barragem do Perdido (mma. Lagoa Verde)"
N/A,J. J. de Wilde,Gabon,N/A,"Vine, 7 m. long in tree in roadside.",Jongkind,Rhynchosiagabonensis Jongkind,About 10 kilometers on the road from Kembélé to Vouko,N/A,1991-01-22,N/A,Typed,K000236710,10130,N/A,"B. J. E. de Wilde-Duyfjes, K. van Nek",N/A,ISOTYPE,"J.J. de Wilde, B.J.E. de Wilde-Duyfjes & K. van Nek","O 04 N., O 23 E.",N/A,Alt.: 580 m.,22-1-1991,Rhynchosiagabonensis Jongkind,"About 10 km. on the road from Kembélé to Vouko, O 04 N., O 23 E. Alt.: 580 m."
N/A,Wilhelm Suksdorf,United States,Washington,High sandy river-bank,Tiina Särkinen,Solanum triflorum Nutt.,High sandy river-bank at Bingen,1926-08-00,1926-08-00,N/A,Typed,N/A,12045,Klickitat,N/A,soil,no type status,Wilhelm Suksdorf,N/A,2014,N/A,Aug. 1926,Solanum triflorum Nutt.,High sandy river-bank at Bingen.
N/A,J. Francis Macbride,Peru,N/A,N/A,T.F.A. Macbride,Tococa mandonii Macbr.,Mountain slope,1922-09-01,1922-08-27,La Merced,Typed,K000536956,5234,N/A,N/A,N/A,no type status,J. Francis Macbride,N/A,20.8.29,about 4000 feet,"Aug. 27-Sept. 1, 1922",Tococa mandonii Macbr.,Mountain slope
"C. heterophylla, C. scabrida, C. lanceolata y C. crotonoides",X. Cornejo,Ecuador,Manabí,"Bosque seco tropical deciduo, frecuentemente intervenido",N/A,Capparis scrobiphylla Miers nov.sp.,8 km surroundings of Universidad Católica,N/A,1997-10-27,N/A,Typed,B 10 0375227,5822,N/A,C. Bonifaz,N/A,ISOTYPUS,"X. Cornejo, C. Bonifaz",LATITUD -0.45 LONGITUD -80.32,N/A,30,"Oct. 27, 1997",Capparis scrobiphylla Miers nov.sp.,"Bosque seco tropical deciduo, 8 km Alrededores de Universidad Católica"
N/A,L'Abbé Delavay,Chine,Yunnan,N/A,N/A,Gentiana albescens Franch.,[precise locality unknown],1887-04-02,1887-04-02,N/A,Handwritten,N/A,N/A,N/A,N/A,N/A,no type status,M. l'Abbé Delavay,N/A,N/A,3200-3700 m,2 avril 1887,Gentiana albescens Franch.,Flantes de Chine (Province de Yunnan)
N/A,Winfried Meier,Venezuela,Distrito Federal,Fila bajillar en selva,N/A,Hierobotia subglobosa (Chodat) Steyerm.,"Cordillera de la Costa, cuenca Guatire-Caucagua, Pico Fila Juan Torres-Brazo Grande-Fila Maestra-Río Curucuti San José de Barlovento",1993-04-19,1993-04-16,N/A,Typed,B 10 0350385,3685,N/A,Silvia Lanzas,N/A,Isotypus,Winfried Meier y Silvia Lanzas,N/A,N/A,ca. 500 msnm,16-19 de abril 1993,Hierobotia subglobosa (Chodat) Steyerm.,"Distrito Federal, Estado Miranda: Cordillera de la Costa: cuenca Guatire-Caucagua: Pico Fila Juan Torres-Brazo Grande-Fila Maestra-Río Curucuti San José de Barlovento"
N/A,Kessler,Indonesia,Sarawak,Secondary vegetation along road,Kessler,Mallotus paniculatus,Base of Gunung Pueh,1988-12-21,1988-12-21,N/A,Typed,P.K 283,283,1st Division,N/A,N/A,no type status,Kessler 283,N/A,16. IV. 1994,up to 200 m,21.12.1988,Mallotus paniculatus,Base of Gunung Pueh
N/A,M. Jacobs,Borneo,Sarawak,Primary forest on sandstone substratum,N/A,Piptospatha grabowskii (Engl.) Engl.,Slopes of Mount Penrissen,1958-08-01,1958-08-01,N/A,Typed,N/A,5005,1st div,N/A,rock,no type status,M. Jacobs,"approx. 1°5'N., 110°5'E.",N/A,ca. 700-900 M.,Aug. 1,Piptospatha grabowskii (Engl.) Engl. (Syn. P. havilandii (Engl.) Engl.),"Slopes of Mount Penrissen (S. of Kuching), approx. 1°5'N., 110°5'E."
N/A,P. J. M. Maas,Brazil,Espírito Santo,"High forest on Barro Branco Land; vegetation with high trees, terrestrial and epiphytic Bromeliaceae",P. J. M. Maas,Pseudoxandra spiritus-sancti Maas,Estação Biológica de Santa Lúcia,N/A,1999-02-16,N/A,Typed,Mus. Bot. Berol. B 10 0094420,8833,Santa Teresa,"H. Maas, L. Kollmann",N/A,Isotype,"P. J. M. & H. Maas, L. Kollmann",19°58'S 40°32'W,"Utrecht, 2001",800 meters,16 Feb 1999,Pseudoxandra sp. nov.,Estação Biológica de Santa Lúcia
N/A,H. Berazaín,Cuba,Guantánamo,N/A,H. Manitz,Phyllanthus pallidus W. Wight,"Abra de Mariana, loma al oeste del barranco",N/A,1979-11-09,N/A,Typed,N/A,HFC 39098,San Antonio del Sur,"J. Bisse, M. A. Díaz, H. Dietrich, L. González Géigel, J. Gutiérrez, E. Köhler, L. Lepper, U. Rändel, H. Scharaschmidt",N/A,Isotype,"H. Berazaín, J. Bisse, M. A. Díaz, H. Dietrich, L. González Géigel, J. Gutiérrez, E. Köhler, L. Lepper, U. Rändel, H. Scharaschmidt",Coordenadas de la cuadrícula (Cuba 1:250000): 16/71 L.157(?)9,2007,N/A,09-11-1979,Phyllanthus pallidus W. Wight,"Abra de Mariana, loma al oeste del barranco Coordenadas de la cuadrícula (Cuba 1:250000): 16/71 L.157(?)9"
